map,started_timestamp,duration,irl_duration,game_id,avg_elo,num_players,team_0_elo,team_1_elo,replay_enhanced,leaderboard,mirror,patch,raw_match_type,game_type,game_speed,starting_age,winner,team,feudal_age_uptime,castle_age_uptime,imperial_age_uptime,old_rating,new_rating,match_rating_diff,replay_summary_raw,profile_id,civ,opening
hideout,2025-01-18 01:59:21+00:00,0 days 00:49:53.700000,0 days 00:29:21,366018788,1232.5,2,1240.0,1225.0,False,random_map,False,125283,6,random_map,normal,dark,False,0,,,,1240,1223,15.0,{},12315975,franks,
hideout,2025-01-18 01:59:21+00:00,0 days 00:49:53.700000,0 days 00:29:21,366018788,1232.5,2,1240.0,1225.0,False,random_map,False,125283,6,random_map,normal,dark,True,1,,,,1225,1242,-15.0,{},4643267,poles,
lowland,2025-01-13 22:55:44+00:00,0 days 00:52:25,0 days 00:30:50,365180902,653.5,2,649.0,658.0,False,random_map,False,125283,6,random_map,normal,dark,False,0,,,,649,615,-9.0,{},1954012,koreans,
lowland,2025-01-13 22:55:44+00:00,0 days 00:52:25,0 days 00:30:50,365180902,653.5,2,649.0,658.0,False,random_map,False,125283,6,random_map,normal,dark,True,1,,,,658,674,9.0,{},20528796,vikings,
gold_rush,2025-01-18 13:30:08+00:00,0 days 00:27:03.500000,0 days 00:15:55,366115257,1226.1666666666667,6,1232.0,1220.3333333333333,False,team_random_map,False,125283,8,random_map,normal,dark,True,0,,,,1251,1266,11.666666666666742,{},4975509,goths,
gold_rush,2025-01-18 13:30:08+00:00,0 days 00:27:03.500000,0 days 00:15:55,366115257,1226.1666666666667,6,1232.0,1220.3333333333333,False,team_random_map,False,125283,8,random_map,normal,dark,False,1,,,,1236,1220,-11.666666666666742,{},1733694,britons,
gold_rush,2025-01-18 13:30:08+00:00,0 days 00:27:03.500000,0 days 00:15:55,366115257,1226.1666666666667,6,1232.0,1220.3333333333333,False,team_random_map,False,125283,8,random_map,normal,dark,True,0,,,,1240,1255,11.666666666666742,{},12313532,ethiopians,
gold_rush,2025-01-18 13:30:08+00:00,0 days 00:27:03.500000,0 days 00:15:55,366115257,1226.1666666666667,6,1232.0,1220.3333333333333,False,team_random_map,False,125283,8,random_map,normal,dark,False,1,,,,1184,1170,-11.666666666666742,{},833366,cumans,
gold_rush,2025-01-18 13:30:08+00:00,0 days 00:27:03.500000,0 days 00:15:55,366115257,1226.1666666666667,6,1232.0,1220.3333333333333,False,team_random_map,False,125283,8,random_map,normal,dark,True,0,,,,1205,1222,11.666666666666742,{},1547021,huns,
gold_rush,2025-01-18 13:30:08+00:00,0 days 00:27:03.500000,0 days 00:15:55,366115257,1226.1666666666667,6,1232.0,1220.3333333333333,False,team_random_map,False,125283,8,random_map,normal,dark,False,1,,,,1241,1225,-11.666666666666742,{},8177029,franks,
arabia,2025-01-15 00:45:59+00:00,0 days 00:37:51.200000,0 days 00:22:16,365395996,734.5,2,704.0,765.0,False,random_map,False,125283,6,random_map,normal,dark,False,0,,,,704,673,-61.0,{},18848733,koreans,
arabia,2025-01-15 00:45:59+00:00,0 days 00:37:51.200000,0 days 00:22:16,365395996,734.5,2,704.0,765.0,False,random_map,False,125283,6,random_map,normal,dark,True,1,,,,765,778,61.0,{},4257151,armenians,
arabia,2025-01-15 12:33:14+00:00,0 days 00:27:49.400000,0 days 00:16:22,365469845,742.5,2,742.0,743.0,False,random_map,False,125283,6,random_map,normal,dark,True,0,,,,742,758,-1.0,{},18895828,bulgarians,
arabia,2025-01-15 12:33:14+00:00,0 days 00:27:49.400000,0 days 00:16:22,365469845,742.5,2,742.0,743.0,False,random_map,False,125283,6,random_map,normal,dark,False,1,,,,743,727,1.0,{},2956927,magyars,
arabia,2025-01-17 20:49:12+00:00,0 days 00:43:49.900000,0 days 00:25:47,365959343,1795.0,2,1795.0,1795.0,False,random_map,False,125283,6,random_map,normal,dark,True,0,,,,1795,1811,0.0,{},8913439,chinese,
arabia,2025-01-17 20:49:12+00:00,0 days 00:43:49.900000,0 days 00:25:47,365959343,1795.0,2,1795.0,1795.0,False,random_map,False,125283,6,random_map,normal,dark,False,1,,,,1795,1779,0.0,{},737207,britons,
megarandom,2025-01-18 04:25:30+00:00,0 days 00:46:14.400000,0 days 00:27:12,366043720,1588.0,2,1568.0,1608.0,False,random_map,False,125283,6,random_map,normal,dark,True,0,,,,1568,1586,-40.0,{},8483399,lithuanians,
megarandom,2025-01-18 04:25:30+00:00,0 days 00:46:14.400000,0 days 00:27:12,366043720,1588.0,2,1568.0,1608.0,False,random_map,False,125283,6,random_map,normal,dark,False,1,,,,1608,1590,40.0,{},372270,gurjaras,
arabia,2025-01-14 02:37:54+00:00,0 days 00:57:36.100000,0 days 00:33:53,365213384,1001.5,2,975.0,1028.0,False,random_map,False,125283,6,random_map,normal,dark,False,0,,,,975,961,-53.0,{},2216289,mayans,
arabia,2025-01-14 02:37:54+00:00,0 days 00:57:36.100000,0 days 00:33:53,365213384,1001.5,2,975.0,1028.0,False,random_map,False,125283,6,random_map,normal,dark,True,1,,,,1028,1042,53.0,{},4259491,magyars,
